TEAM,total_salary,median_salary,mean_salary,low_salary,high_salary,VALUE_MILLIONS,val_salary_ratio
Atlanta Hawks,88.51772100000001,2.2999425000000002,4.9176511666666665,0.246956,23.180275,885,9.99799802798809
Boston Celtics,95.95528,3.094014,5.050277894736842,0.543471,26.5401,2200,22.927346989139107
Brooklyn Nets,70.969193,2.145046,4.4355745625,0.543471,21.165675,1800,25.363117768578824
Charlotte Hornets,117.009973,3.865,5.318635136363636,0.067135,20.869566,780,6.666098452992549
Chicago Bulls,86.066188,2.0922,6.620476,0.543471,23.2,2500,29.04741174315749
Cleveland Cavaliers,126.769035,8.7349465,10.56408625,0.207722,30.96345,1200,9.466034035835328
Dallas Mavericks,60.278655,4.09695,6.697628333333333,0.031969,25,1450,24.054949467601755
Denver Nuggets,74.320214000000007,3.2263200000000003,4.6450133750000004,0.057672,15.05,890,11.975207714014385
Detroit Pistons,78.897138,5.3125,6.5747615,1.015696,17.2,900,11.40725789064744
Golden State Warriors,89.467269,11.6218635,11.183408625,0.543471,26.5,2600,29.060907179361873
Houston Rockets,76.748749,1.6478465,6.395729083333333,0.815615,26.5,1650,21.498721757666694
Indiana Pacers,86.066479,3.641725,6.147605642857143,0.95,18.314532,880,10.224654362821093
Los Angeles Clippers,91.29153,4.57796,7.6076274999999995,0.980431,22.868827,2e3,21.907837452171083
Los Angeles Lakers,87.098757,5.28168,5.8065838,0.543471,18,3e3,34.443660315382
Memphis Grizzlies,120.521575,1.46508,4.820863,0.379159,26.5401,790,6.5548429814329925
Miami Heat,72.006057,4.814,7.2006057,1.471382,23.74106,1350,18.74842278893288
Milwaukee Bucks,83.182514,2.995421,6.398654923076923,0.815615,17.145838,785,9.437079528517256
Minnesota Timberwolves,73.523705,3.65,4.5952315625,0.980431,13.55,770,10.47281281594827
New Orleans Pelicans,76.907643,4.638203,6.991603909090909,0.057672,22.11675,750,9.751956642332676
New York Knicks,98.928447,2.898,6.5952298,0.543471,24.55938,3300,33.357442677736564
Oklahoma City Thunder,102.740171,3.488,6.043539470588235,1.52604,26.5,1025,9.976623457245365
Orlando Magic,89.30594,4.13058,6.378995714285714,0.057672,17,920,10.301666384117338
Philadelphia 76ers,75.445646,4.3844900000000004,4.437979176470589,0.057672,9.424084,800,10.603660282794849
Phoenix Suns,71.809399,4,5.523799923076923,0.057672,14,1100,15.318329011498898
Portland Trail Blazers,115.497517,3.219579,6.793971588235294,0.874636,24.328425,1050,9.09110452997877
Sacramento Kings,102.381025,3.53418,5.11905125,0.543471,16.9579,1075,10.499992552330864
San Antonio Spurs,114.682791,2.898,6.746046529411765,0.543471,20.575005,1175,10.245652287970564
Toronto Raptors,85.316776,5.3,5.687785066666667,0.543471,14.382023,1125,13.186152275608727
Utah Jazz,83.164266,2.386967,5.197766625,0.980431,16.07314,910,10.942199622130977
Washington Wizards,112.818118,5,7.521207866666667,0.874636,22.11675,1e3,8.863824514427726
